Id,sentiment,text
6.38928E+17,neutral,@LeeQVC Hi Lee my iPhone is currently operating on IOS 6do I have to put IOS7 1st or can upload IOS8 if so how do I go about it ?
6.38946E+17,positive,wed night 7pm pacific join the The BLAST! live right here on FB as we have the founder's of the IOS app Kander on... http://t.co/XgeUKCqd6f
6.39001E+17,positive,codigames:Do you like ARPGs?Dungeon Legends arrive to iOS on September 3rd http://t.co/17VP9iXAxj #gamedev #iphone http://t.co/vGQF11yE2H
6.39017E+17,neutral,Jailbreaking iOS Devices May Not Be The Best Idea: Security vulnerabilities in the iOS can rarely be... http://t.co/yAATcrXOrU #security
6.39071E+17,positive,"Come and have the FIRST EVER GO on Lumino City on iOS @SomersetHouse @nowplaythese + real models, Friday til Sunday! http://t.co/GXdkU8COnj"
6.39085E+17,neutral,Rumor has it that a certain app is available on iOS and it's FREE.  Android coming Friday. http://t.co/JXNaqgUWaz
6.39116E+17,neutral,@steveballin So far we've announced iOS and Android versions and we focus on them. This may change in the future though.
6.39117E+17,neutral,"@MyersNFL May favorite one EVER on iOS is Harbaugh, it autocorrects to Garbage"
6.39218E+17,neutral,@MKBHD do u know if the moto360 2nd gen will work with iOS devices??
6.3929E+17,positive,Not Available
6.39457E+17,positive,My best guess is we should see MCPE0.12.0 submitted to IOS and Google by the end of week or into Monday if the devs have cleaned up the bugs
6.39485E+17,positive,The next Pixel Dungeon update for Steam and iOS with a lot of new features and improvements will be released on September 4th.
6.39543E+17,neutral,Thursday Night on KXLU! Get the @KXLU889 app for IOS or Android at http://t.co/hDxy5DKgp7 and LISTEN! http://t.co/bjODczV0MF
6.39587E+17,neutral,Not Available
6.39731E+17,neutral,Been using Vodafone's smart ultra 6 since Tuesday. Can't get the hang of it and finding a few faults with android. Back to IOS I think...
6.39806E+17,neutral,"Meet your new (old) favorite endless runner for iOS, Race the Sun - Macworld http://t.co/or8gZl9CsG"
6.39825E+17,positive,"Are you ready for our new 2048 app launch tomorrow? Build binaries for IOS, Android, Windows Phones and Tablets.... http://t.co/pmCGUUu6cL"
6.39886E+17,neutral,@flyshorts BTW I &amp; others have run into a fair number of cataloguing issues with the Apple Music update in iOS 8.4. This may be a symptom.
6.399E+17,positive,This hopefully means that MCPE will come out for IOS around the 8th of September along with all other versions!
6.40018E+17,positive,What you should look for from Apple's September 9 event: A new version of iOS will likely arrive with those sh... http://t.co/TcdFrMhODo
6.40163E+17,neutral,Want to speed up your sharing? Automate a few things from your iOS device? Workflow may be the solution. http://t.co/cVkMkRCeDq
6.40185E+17,positive,@RobloxLeaksFTW thank you now I may actually have a chance on ios now
6.40305E+17,positive,articlesection classpagepAndroid Wear may be very close to working with iOS
6.40324E+17,positive,Not Available
6.4033E+17,positive,Not Available
6.4035E+17,positive,@_tomcc Hey Tommaso when is the release date for 0.12 on iOS? If the answer is around the 8th thats where my school starts!
6.40506E+17,positive,Not Available
6.40515E+17,positive,1 DAY.#CrowdViz releases on Labor Day September 7th! An IOS app that unites blind people with sighted assistants. http://t.co/fNXqXa685P
6.40604E+17,positive,WHO CANT WAIT FOR MINECRAFT 0.12 ON IOS BUT NOW U DONT HAVE TO WAIT CAUSE IT WILL BE SUBMITTED AT 8th september 1 day left
6.4064E+17,neutral,It's quite funny to see iOS developers taking advantage of the new Ugmonk 6th Anniversary set!
6.4072E+17,negative,Not Available
6.40863E+17,positive,"@KymLang links are working fine on my IOS device. Some times on the first click I get a ""open in safari ?"" Cancel it &amp; do a 2nd click. Works"
6.40986E+17,positive,"@darngeek all device build 14 tomorrow or official (WP,android,IOS) ? Hehe :P yay happy day for you ..."
6.41022E+17,neutral,@_tomcc so the 12.0 for IOS will be out tomorrow correct??
6.41105E+17,positive,Tech: Android&gt;Star Wars: Uprising launches September 10 on iOS and Android - GB: Star Wars canon is about t..http://t.co/oiTvPxGfby #mobile
6.41289E+17,positive,@_tomcc hi I was wondering do u mean you'll try to release MCPE 0.12.1 to iOS tomorrow??? Ps your awesome
6.41393E+17,neutral,Not Available
6.41434E+17,positive,Check out my ride in #CSRRacing for iOS! Try it for FREE! http://t.co/BvKgJ02yP8 now car http://t.co/PLHShHhLA0
6.41439E+17,neutral,Apple releases what the next iPhones and IOS will be like tomorrow
6.41442E+17,positive,You can download 0.12.0 for iOS and the show or server won't work until tomorrow be happy and SMILE MORE =)
6.41483E+17,positive,"Those of you with iOS devices, ask Siri to ""give you a hint"" about tomorrow's Apple keynote. http://t.co/pfQkdUDchQ"
6.41486E+17,positive,I don't operate any iOS devices anymore but I'll still tune into the big show tomorrow. Still fun to watch the event and see what's what.
6.41489E+17,neutral,@pedstrom Not sure what you mean. Continuity doesn't require a separate 3rd device (Watch) for two (other) iOS devices to pair and share.
6.41495E+17,negative,ok inbox on iOS has a pretty animation for the sun but thew android version doesnt :(
6.41542E+17,neutral,@AGPlaya the only time i would say i really enjoyed IOS was fifa 14 before i got my console in may soon as i got that i stopped playing it
6.41633E+17,positive,"Wanna watch the iPhone announcement... LIVE? With any iOS device (Safari Browser)... watch here, starting 10 AM PST: http://t.co/ty3GDrguxn"
6.41643E+17,positive,"ATTN: Beginning Oct 1st, Munzee 3.0 will be the only app available for iOS and Android. Also, 3.0.1 is in review and includes bug fixes."
6.41653E+17,positive,Did you know that we are launching @eccgames's Tower Dwellers Gold on Android tomorrow in tandem with iOS?  https://t.co/PIBCmp1bzd
6.41655E+17,neutral,http://t.co/DeGqRngcwk: iOS Developer  TH-Bangkok: Market Rate:  http://t.co/DeGqRngcwk: My client is the larges... http://t.co/kYSJ5sThUE
6.4167E+17,positive,"Like legit though, if it was running OS X, it would be a sick product. But since it's running IOS you may as well get a retina 13"""
6.41324E+17,positive,Join the MOVable Challenge! Get your MOVband at Spirit Fest tomorrow or Thursday and move one step closer to an iPad! http://t.co/QEv1anI83s
6.41328E+17,positive,"tomorrow is another big day in the tech world! I'm guessing a new upgraded  iPhone, iPad, and possibly new OS! http://t.co/ro5a6NIgAa"
6.41329E+17,negative,Lost my iPad for the 2nd time today
6.41334E+17,neutral,Not Available
6.41336E+17,positive,Woods Club! @CHSWoodsClub Come to room 175 after school next tuesday to make iPad Stands! http://t.co/U0aqa81PWW
6.41342E+17,neutral,A survey question ahead of tomorrow's announcements: What's the right price for an 12.9-inch iPad w stylus and keyboard cover??
6.41343E+17,positive,"Really excited about Apple Announcing iPad Pro tomorrow. Ah, the rumor I've been wanting to be true for years. It... http://t.co/BNFovY0ZBZ"
6.41345E+17,positive,So excited to see what #Apple announces! My wish - a huge iPad that I can draw on with a stylus http://t.co/FeTK7rajmb @WIRED #tech
6.41349E+17,neutral,Apple might want to give devs a little info on iPad Pro before dropping it and iOS 9.1 on the market in November. ht: @apollozac
6.41351E+17,positive,Sat next to a woman on the plane today who flipped through photos of her cat on her iPad the whole time. #spiritanimal
6.41351E+17,positive,Tomorrow the day Apple reveals a new iPhone &amp; iPad #SoAnxious I want both items ASAP!
6.41352E+17,positive,"Prediction for tomorrow: iPhone 6c, 6s and 6s+; a 12"" iPad and a new Apple TV with touchscreen controller. #applegenius #stillnojobthough"
6.41358E+17,positive,"Rumor is that Apple's big announcement tomorrow is a giant iPad. Please, God -- please let them call it the MaxiPad! #AppleEvent #Apple"
6.41367E+17,positive,"Tomorrow: Capturing Covent Garden with iPhone and iPad 9 September, 10:30am, Apple Store, Covent Garden. #Free http://t.co/HLqZo2ff8G"
6.41376E+17,negative,"I'm at my follow limit. Rude. I will go on my iPad tomorrow and unfollow all the little bitches who ain't following back. K, bye."
6.41379E+17,positive,Wouldn't be surprised if the new iPhone unveiled tomorrow is actually an iPad mini
6.41383E+17,positive,@coorz00 thanks tea sounds good but gotta update the iPad 1st
6.41384E+17,positive,Not Available
6.41392E+17,positive,I hope they announce something different and exciting for the iPad tomorrow. It's just about time for me to get a new one #AppleEvent
6.41393E+17,positive,"Reading @daringfireball's prelude to tomorrow's Apple event, can't help but think @gruber is the new WSJ, Bloomberg, or NYT re: iPad news."
6.41402E+17,positive,Traded in the new computer to get an iPad. Uncle tells me new iPad will be announced tomorrow so prices should drop. http://t.co/3Xgg14mX62
6.41404E+17,positive,"Apple's Keynote is happening tomorrow at 3am!With the expected announcement of the iPhone 6S, new Apple TV and iPad who is waking up for it?"
6.41405E+17,neutral,Not Available
6.41406E+17,positive,The only thing I'm looking forward to tomorrow is the new iPhone and iPad Pro
6.41408E+17,neutral,what she gonna buy with $200? 1/4th of an ipad  https://t.co/SL79vF03CE
6.41411E+17,positive,I hope I get my iPad tomorrow so I can stream the Apple Keynote Address in school
6.41413E+17,positive,Not Available
6.41414E+17,positive,"Does it really have iPad pro &amp; stylus, tomorrow will have answer!!!"
6.41416E+17,neutral,@Dennisd1971 if you are using an iPhone or iPad you may not be able to view it their youtube app.  Try on your computer.
6.41417E+17,neutral,"Tomorrow, #Apple better introduce an iPad large enough for me to stand on, with an app that'll transport me wherever I want to go. If not..."
6.41419E+17,positive,"But with a new iPad coming out, I may be able to snag an older iPad at a decent price."
6.41419E+17,positive,First day of school tomorrow which means it's also the first day of the season for RBI baseball on my iPad
6.41423E+17,negative,"are yall really mad that he's paying $200 to fix a broken iPad, don't yall have bigger problems to deal with  https://t.co/bDigQfbZOd"
6.41424E+17,positive,And Apple goes gesture controlled gaming with Apple TV. Will the phone and iPad upgrades impress?  https://t.co/nAwH8kht9B
6.41425E+17,positive,"#Apple to unveil iPhone 6s, iPad today. For the first time they are releasing on Wednesday. All their earlier releases were on a Tuesday."
6.41426E+17,negative,When you have 3 1/2 tests tomorrow and a lab to do but your iPad is dead so you can't do shit :):):):):):)
6.41431E+17,negative,Highly doubt that iPad will be covered during the #AppleEvent tomorrow. https://t.co/qndgNTztqa
6.41433E+17,positive,"So tomorrow is the big Apple event. What do you think we'll see, iPad Pro? An iPad Stylus? Curious to see what they bring."
6.41435E+17,neutral,Not Available
6.41436E+17,neutral,"Checks 2.0 will not be submitted tomorrow, but I'll end up taking the extra time for a watch app, NC widget, iPad optimization, etc."
6.41437E+17,positive,@LOHANTHONY my moms taking my iPad away tomorrow but it's worth it because I'm tweeting the KWEENT #ANTHONYCHAT
6.41437E+17,positive,"Which is more interesting unveil tomorrow? $AAPL 6s, Ipad, TV or $TM new Prius? I'm going with Prius."
6.41442E+17,positive,"To prepare for the #AppleEvent tomorrow I am reminiscing over legacy apple hardware including iPod 2nd Gen, iPhone 4, iPad 2. Get Pumped!"
6.41444E+17,positive,"Sundays vlog is processing, Monday's is exporting... You know for having to do it all on a iPad is say I'm doing pretty good."
6.41446E+17,positive,@film_girl I'd buy the next iPad if they had Fassbender give the keynote tomorrow.
6.41448E+17,positive,I believe the new Twitter update comes in time before tomorrow event. Might be seeing deeper integration with iPad Pro? SplitScreen!? #iOS
6.41448E+17,positive,"Tomorrow, Apple Inc. will introduce the 6S, a new Apple TV and the iPad Pro."
6.41451E+17,negative,Accidentally left iPad sitting in the sun too long. Had to stash her in the freezer to cool down #whoops #straya
6.41457E+17,positive,Not Available
6.4146E+17,neutral,"@Qantas hi, i've trying to contact quantas bu phone with no success since last thursday...i left an ipad in a plane, could you help me?"
6.41479E+17,negative,My dad just dramatically got upset at me for no reason but I was getting an iPad tomorrow so now what
6.41481E+17,positive,@pierce hahah. Excited for your live blog tomorrow. I know the rumors are strong but I remain dubious about the iPad pro being announced
6.41483E+17,neutral,@Celeste_pewter I can't tell if it is working on my blog I will have to check tomorrow on the computer. I was using my iPad.
6.41494E+17,positive,Why spec Noritz? We want to know! Submit a vid before Oct 31 explaining why &amp; you could win an iPad! http://t.co/QNPOTCjrK1 #NoritzPro
6.41501E+17,neutral,I still doubt Apple will announce new iPad at tomorrow's event. Apple might dedicate most of the keynote on new Apple TV.
6.41502E+17,positive,"@KimCummms I see. I hope it will survive. If not, you only have new when things break. Apple may announce a big size iPad tomorrow"
6.41511E+17,negative,"ok so i want to cry like, my expected delivery date for my ipad is thursday which is AFTER i leave like this is the absolute worst"
6.41512E+17,neutral,Uniting until yours postexistence bandeau it may be take effect actuary out the ipad onwards from desktop verge...
6.41515E+17,positive,"#Apple is expected to unveil 2 iPhones, an Apple TV &amp; a larger iPad. Watch the live stream tonight at 7pm here http://t.co/QwoJ0yway0 #tech"
6.41524E+17,neutral,"Should you upgrade from #Adobe #CS6 Suite? CS6 came out before the 1st iPad mini was released, in the same month Facebook bought Instagram!"
6.41526E+17,neutral,"@daringfireball if Apple wants to sell me an iPad, they'd better announce it tomorrow"
6.41528E+17,neutral,"#Apple to show the #iPhone6S, updates to the iPad, Apple TV and other products today http://t.co/2fSV8hScJa"
6.4154E+17,neutral,1st u knew dat there wud b a lot of ppl chasing after harry so y'd u bring ur ipad w/ u U couldve just used ur phone https://t.co/5MSumtur1K
6.4154E+17,negative,And 2nd it wasnt harrys fault that he had ran over your ipad so whyd you ask him to pay for the crack like wtf https://t.co/5MSumtM2qk
6.4156E+17,neutral,Literally anxious abt the iPad pro announcement today. You gonna disappoint again Apple or is it srsly the 2nd last product I'll need from u
6.4156E+17,positive,If your pupils can use an iPad better than you can then this course may well be ideal for you - http://t.co/8innWbrMqY
6.41563E+17,positive,Not Available
6.41566E+17,neutral,1st he smashed someone's phone now ran over an iPad he hates you all https://t.co/Vxn34DDrk6
6.41575E+17,positive,"Also, the iPhone 6S, 6S Plus and the new iPad will be coming out tomorrow morning! Will be checking out the highlights."
6.4158E+17,neutral,@darebeark @alyaeldeeb12345 my memory  doesnt have more space. So i cant download it :( but i'll try to download it tomorrow from iPad
6.41584E+17,neutral,@garrettc Do you think it knows that in a couple of hours it may be one step closer to obsolescence (and outpaced by a giant iPad at that)
6.41585E+17,positive,Not Available
6.41585E+17,positive,Not Available
6.41593E+17,negative,Pausing on this day of my 31st year to yell at my ipad because pandora refuses to play the Carpenters' Superstar.
6.41596E+17,positive,Giant iPad anyone? Don't forget to check out the Apple Event at 1pm EST. #apple #charlotte http://t.co/uOVQhibSJ2 http://t.co/GVhKOJPUIJ
6.41597E+17,neutral,Just $6.99 for the Hebrew Crash Course by Friday. Get Survival Phrases for the iPad or Mac: https://t.co/O4YGQFgtaa http://t.co/NczpkYotRo
6.41603E+17,positive,"iPad Pro, Apple TV expected to take center stage Wednesday: It's that time of the year. For five years, Apple ... http://t.co/eHpn3KzylM"
6.41603E+17,neutral,Top 5 Gambling Apps for the iPad http://t.co/2JbwPxRzY8
6.41605E+17,positive,Can't wait to see the iPad Plus .... #Apple #AppleEvent #TimCook  https://t.co/qiR5JjDdjp
6.41608E+17,neutral,The Accounting Career Fair is this Friday! Be sure to engage with us by using #kubusfair--you might win an iPad mini!
6.4161E+17,positive,"New iPhones, iPad Pro, and Apple TV on the way today at 10 A.M. (PDT)! #AppleEvent http://t.co/WLFT7hrxH8"
6.41618E+17,neutral,"I wanna go find the iPad so I can watch videos and train muh pokeymanz, rip iPod D:  tomorrow marks two weeks"
6.41619E+17,positive,Is that I am very excited to share on Instagram brings their app to iPad and redesigns the iWatch in November.
6.41621E+17,neutral,wait...I may reconsider my decision to get surface pro 4 if ipad pro comes with a stylus with pressure sensitivity
6.41626E+17,positive,#castleberryisd 5th grade iPad Deployment going well! Students are excited! http://t.co/hcPY5IR8ZM
6.41629E+17,neutral,@mmmhotbreakfast @mickmolloy I can't stop hope the iPad goes flat I gotta work tomorrow. GO TIGES GO TIGES GO TIGES GO TIGES GO TIGES..
6.4163E+17,positive,Happy Apple Fanboy Day! May the iPad be with you.
6.41633E+17,positive,It was fun to see the excitement on the 6th graders' faces. And some of them seem to be iPad pros already! https://t.co/YnZtTTyg4W
6.41635E+17,positive,1st gen iPad mini still going strong. Love that little guy.
6.41635E+17,positive,"Looking forward to the #AppleEvent today. It will make for interesting 4th Quarter results w/ an upgrade to the iPhone, iPad, and Apple TV"
6.41638E+17,neutral,Does he mean a tv or a giant iPad?  https://t.co/oITONF1nPq
6.41638E+17,negative,Did he just spoil the iPad Pro?  https://t.co/4wQWl5RhA5
6.41639E+17,positive,Here comes the new Apple TV! And the iPad Pro. https://t.co/mItEONUDl4
6.41642E+17,negative,"@HARD8TIMES @BrokenGamezHD @BLACKB0ND @iamironwolf whys he flossin an iPhone 3G, original iPad an 5th gen MacBook like he got money lmao"
6.41646E+17,positive,@MarkVonVegas It's the best. I can't wait to christen my new patio on September 26 with some coffee and RedZone on ipad.
6.4165E+17,positive,Who is ready for the iPad Pro? Today may be the day...
6.41651E+17,positive,Did you know you can split the keyboard on your iPad? I didn't. Here are some Ninja tricks for the iPad you may... http://t.co/RpzAoPo5vR
6.41655E+17,positive,Not Available
6.41657E+17,neutral,"iPhone, iPad, or iPod touch, Mac with Safari, PC with Microsoft Edge on Windows 10 http://t.co/KbT0XSs0WC #AppleEvent"
6.41494E+17,negative,Not Available
6.41496E+17,positive,Not Available
6.41496E+17,neutral,Not Available
6.41496E+17,positive,"iPhone event recap video tonight, then Transloader for Mac app review on Saturday. Cool content coming up! :)"
6.41497E+17,positive,"Golf with the dudes, no work, pool day, and the new iPhone announcement.. Tomorrow shall be a good day."
6.41497E+17,neutral,When will the iPhone 6 price drop? Immediately after the sep 9th announcement or not? and how much will it drop?
6.41498E+17,positive,"11 hours until Apple announces the iPhone 6S, here's what to expect: http://t.co/K1hTCDm6fI"
6.415E+17,positive,New iPhone announcement tonight. If I don't get one ordered tomorrow with @ThreeUK for my upgrade there will probably be tears.
6.41502E+17,positive,Not Available
6.41502E+17,positive,Who is as excited as I am about @APPLEOFFIClAL announcement tomorrow?  I haven't had a new iPhone since the 4S - I'm ready! #blogchat
6.41502E+17,positive,The new iPhone is announced tomorrow. I already want it
6.41505E+17,neutral,"If you bought an iPhone today, you lost. New ones get introduced tomorrow.                             Don't lose, win."
6.41508E+17,positive,"The 'numeracy map' just fits into an iPhone, bringing it alive, digitally! Search the AppStore, 1st level free. http://t.co/8HxVKGu8WI"
6.4151E+17,neutral,The new iPhone will be announced tonight at 1AM (10th Sept). Here's how to watch it live http://t.co/aFRlZFTPc5 http://t.co/JIhzZ3paAA
6.4151E+17,neutral,"While all eyes may be on the new iPhone today, this Apple product will be the most disruptive http://t.co/WIZnjgwOQn http://t.co/x8LHcVGju8"
6.41512E+17,positive,"Apple is hosting its annual splash on Wednesday to unveil a new version of its best product, the iPhone #Africapkenya http://t.co/hL17VGWRnL"
6.41513E+17,positive,I'm so excited for the new iphone release tomorrow yas.
6.41516E+17,neutral,Apple will be hosting its next iPhone reveal event on September 9 at 9AM PST. You can watch a live stream of the event at GameSpot's ...
6.41517E+17,neutral,"Today's the 9th? We've got some apple news coming, I just want to get on with it &amp; upgrade my iPhone."
6.41517E+17,positive,Ready for the Keynote tomorrow. Is iPhone the right choice for me!? Next time on Dragon Ball Z
6.41517E+17,neutral,Alex Gibney explains why his Steve Jobs documentary may cause you to put down your iPhone for good (via @Pocket) http://t.co/98tFA0lX2C
6.41518E+17,positive,"Started the day listening to @theweeknd, new iPhone reveal later and the #NFL is back tomorrow. Happy hump day!"
6.41518E+17,positive,Not Available
6.4152E+17,neutral,"Today my doctor diagnosed me with a repetitive strain injury known as ""iPhone thumb"". May my social media use be a cautionary tale to all."
6.41522E+17,positive,"Today Sept 9th Apple announces details on how iPhone will work with #Adblockers, #onlineadvertisers in the future."
6.41526E+17,positive,Beyond excited for the Apple Event tomorrow. Mostly for new Apple Watch bands as I'll be trying not to get the new iPhone.
6.41529E+17,positive,"New IPhone, it's a relegious day. https://t.co/ug29uE6zy1"
6.41537E+17,neutral,"Today's iPhone 6S event: Start time, where to watch the live blog and how to stream http://t.co/TZUjjgbA5c"
6.41538E+17,neutral,"@talk2GLOBE hi, may i ask what are the requirements needed for the iphone 5s under plan 999?"
6.41546E+17,negative,If this new iPhone sounds like it'll suck after tomorrow's announcement then the joke's on me for saving up to get it.
6.4155E+17,neutral,Trading Street: iPhone Change May Be How You'll Pay: Apple's biggest update to the iPhone may be how most cons... http://t.co/frOUvoV8nC
6.41551E+17,positive,"I love Apple, despite the fact that I'm constantly dissing the iPhone. Really looking forward to tomorrow's event."
6.41556E+17,positive,"iPhone 6s: Everything you need to know!: Apple's event of the year, which is being held on September 9, has ma... http://t.co/LrIJS2reRb"
6.41557E+17,neutral,Not Available
6.41561E+17,positive,"""Apple is expected to announce the iPhone 6S at 1PM tomorrow.""  Translation: At 1:00 PM tomorrow, the Internet will lose its shit."
6.41561E+17,neutral,"With Apple expected to announce details of a new iPhone today, the timing may be right to sell your old smartphone. http://t.co/sQWHRSopJT"
6.41565E+17,neutral,Prediction: I will have a status saying that I'll be buying the new iPhone by tomorrow morning. I've done that... http://t.co/bBoCXousDy
6.41566E+17,neutral,Not Available
6.41566E+17,neutral,@martinlmnt like what else can they offer honestly? I may just get another iPhone because I'm used to the OS
6.41566E+17,negative,@truthhonk @sayhup I dropped my iPhone in the beer cooler on the beach yesterday so I gotta get a new one tomorrow
6.41568E+17,positive,Christmas in September! Apple's keynote on the upcoming iPhone is today at 10am Pacific!
6.41569E+17,positive,All the latest Sheffield Wednesday news on iPhone and iPad! http://t.co/G9Z3VUGWuH #SWFC
6.41573E+17,positive,Analyst suggests this may be the last big iPhone launch - with @jeremycontext http://t.co/vBPQ4CZRE6 via @pcr_online #AppleEvent
6.41579E+17,positive,Tech Tuesday: Apple launches new iPhone with 'Force Touch' http://t.co/jRUi50Nt7J #newiphone
6.41582E+17,positive,"@TechJohnson I can't wait. I need a new phone! And since #Samsung has abandoned the UK market, I'll be ordering an iPhone this Friday"
6.41582E+17,positive,"If Apple is upgrading the camera on the iPhone 6s models, I seriously may upgrade...&amp; my phone isn't even 1yr old yet! #photographyproblems."
6.41585E+17,positive,"In Wednesday's #FirstFT - long reign the Queen, iPhone unveiling and more. Sign up at http://t.co/gDolGlrSv5 http://t.co/SIBupoDQu4"
